Year,Date,Month,Station,Salin_Top,Salin_Mid,Salin_Bot,Salin_Bot_1.5,Temp_Top,Temp_Mid,Temp_Bot,Temp_Bot_1.5
2002,2002-07-08,7,218,5.6,4.9,NA,NA,5.2,4.9,NA,NA
2002,2002-07-09,7,218,11.3,11.5,NA,NA,2.8,2.7,NA,NA
2002,2002-07-10,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-11,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-12,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-13,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-14,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-15,7,218,10.5,8.3,NA,NA,12.4,18.8,NA,NA
2002,2002-07-16,7,218,6.8,21.5,NA,NA,13.1,8,NA,NA
2002,2002-07-17,7,218,8.5,10.1,NA,NA,11,11.6,NA,NA
2002,2002-07-18,7,218,20.1,20.2,NA,NA,8.9,8.9,NA,NA
2002,2002-07-19,7,218,13.8,18.7,NA,NA,10,10.5,NA,NA
2002,2002-07-20,7,218,19.2,19.2,NA,NA,10.8,10.6,NA,NA
2002,2002-07-21,7,218,9.3,18.6,NA,NA,11.1,10.9,NA,NA
2002,2002-07-22,7,218,19.1,18.8,NA,NA,8.1,8.1,NA,NA
2002,2002-07-23,7,218,17.4,17.4,NA,NA,8.5,8.5,NA,NA
2002,2002-07-24,7,218,19.8,19.7,NA,NA,7.6,7.6,NA,NA
2002,2002-07-25,7,218,18.8,18.8,NA,NA,6.4,6.4,NA,NA
2002,2002-07-26,7,218,19.5,19.2,NA,NA,6.4,6.4,NA,NA
2002,2002-07-27,7,218,19.5,19.1,NA,NA,5.8,5.6,NA,NA
2002,2002-07-28,7,218,19.4,19.4,NA,NA,6.4,6.3,NA,NA
2002,2002-07-29,7,218,17.4,17.2,NA,NA,7.1,7,NA,NA
2002,2002-07-30,7,218,18.2,18.1,NA,NA,7.3,7.3,NA,NA
